_id,name,lat,lng,address
1,EnBW Charging Station,50.10947,14.51745,"Chlumecká 765/6, 198 00 Praha 9-Černý Most"
2,QMX Charging Station,50.08704,14.57653,"898 Národních hrdinů Praha 14, 190 12 Praha-Dolní Počernice"
3,EnBW Charging Station,50.0725,14.54323,"Nákupní 389/3, 102 00 Praha-Štěrboholy"
4,QMX Charging Station,50.07589,14.53942,"440 Zamenhofova Praha, Sterboholy 10, 108 00 Sterboholy"
5,EnBW Charging Station,50.03157,14.59913,"1250, Nové Nám., 104 00 Praha"
6,EnBW Charging Station,50.03207,14.491,"Roztylská 2321/19, 148 00 Praha 4-Chodov"
7,EnBW Charging Station,50.01198,14.514,"K Hrnčířům 1, 149 00 Praha-Šeberov"
8,EnBW Charging Station,50.030158,14.508307,"Líbalova 2348, 149 00 Praha 11-Chodov"
9,EnBW Charging Station,50.04143,14.42961,"U Družstva Práce, 140 00 Praha 4"
10,ČEZ EV charging station,50.095677,14.340873,"Nám. Jana Pernera 217, 530 02 Pardubice-Praha 6"
11,EnBW Charging Station,50.10362,14.49007,"2420, Českomoravská 15a, 190 00 Praha"
12,Dobíjecí stanice ČEZ Charging Station,50.09205,14.45061,"Křižíkova 682/34a, 186 00 Praha 8-Karlín"
13,Dobíjecí stanice ČEZ,50.41268,14.93142,"Zalužanská 1289, Mladá Boleslav III, 293 01 Mladá Boleslav"
14,Dobíjecí stanice ČEZ,50.02547,15.18756,"Benešova 1000, 280 02 Kolín"
15,VIRTA Charging Station,49.8729,14.80221,"Chocerady 1, 257 24 Chocerady"
16,Dobíjecí stanice ČEZ,49.62268,15.04913,"Čechtice 63, 257 65 Čechtice"
18,Electric vehicle charging station,49.95948,14.07495,"Na Podole, 266 01 Beroun"
20,Dobíjecí stanice Plzeň Plaza,49.74964,13.36956,"Plzeň Plaza, Radčická 2, 301 00 Plzeň 3"
23,innogy Energo Charging Station,50.10803,14.27031,"Aviatická 10, 161 00 Praha 6"
