_id,restaurant_tripadvisor_id,cuisine_tripadvisor_id
67,18719427,10640
68,18719427,10642
69,18719427,10654
70,18719427,10670
71,18719427,10738
72,4768316,10646
73,12511809,9908
74,12511809,10654
75,12511809,10738
76,13224877,10654
77,13224877,10738
78,7124292,10654
79,7124292,10738
80,19589841,4617
81,19589841,5086
82,19589841,10627
83,19589841,10654
84,5048750,10654
85,5048750,10738
86,17605733,10642
87,7793828,10654
88,7124282,10659
89,7682064,10346
90,7682064,10665
91,7682064,10697
92,7682064,10992
93,7123317,10654
94,7123317,10738
95,1063129,10640
96,1063129,10654
97,1063129,10670
98,1063129,10738
99,1063129,10746
100,11796846,10654
101,11796846,10738
102,4092920,4617
103,4092920,10641
104,4092920,10649
105,4092920,10654
106,4092920,10665
107,4092920,10697
108,1494550,10746
109,1494550,10738
110,1494550,10654
111,7109216,10648
112,7109216,10654
113,7109216,10738
114,18850292,10742
115,18850292,10766
116,4768506,10654
117,7123777,10642
118,4768592,9908
119,7123641,10642
120,11801838,10648
121,7383773,5379
122,14004389,10641
123,7123430,10654
124,7123430,10738
125,7124295,10642
126,12929056,10642
127,12929056,10654
128,12929056,10775
129,7124323,9908
130,7124323,10646
131,7710840,10654
132,7710840,10738
133,15218975,10654
134,15218975,10738
135,7123665,10642
136,7123338,9908
137,12929056,10642
138,12929056,10654
139,12929056,10775
140,7124295,10642
141,7124323,9908
142,7124323,10646
143,7383773,5379
144,11801838,10648
145,7123641,10642
146,4768592,9908
147,7123777,10642
148,7123430,10654
149,7123430,10738
150,14004389,10641
151,4768501,10642
152,7123655,10654
153,7123655,10676
154,7123655,10738
155,4768289,10654
156,4768289,10738
157,12624523,5473
158,12624523,10660
159,12624523,10675
160,12624523,10665
161,4768574,10654
162,4768574,10676
163,4768574,10738
164,5048723,10738
165,7123734,10654
166,7123734,10738
167,7123720,10654
168,7123720,10738
169,12995004,10654
170,12995004,10679
171,12995004,10746
172,12995004,10646
173,8058701,10641
174,7123772,9908
175,7123772,10646
176,13316353,10642
177,13316353,10666
178,13316353,10654
179,13316353,10700
180,13316353,10746
181,13316353,10665
182,7123483,10648
183,7123483,10653
184,7123483,5473
185,7123483,10659
186,7123483,10665
187,14134029,10653
188,14134029,10659
189,18543410,10659
190,18543410,10660
191,18543410,10675
192,14158005,10642
193,14158005,10646
194,14158005,10654
195,14158005,10679
196,14158005,10746
197,13455352,10648
198,13455352,10654
199,13455352,10738
200,13280369,5379
201,13280369,10646
202,13280369,10659
203,13402050,4617
204,7124340,9908
205,7124340,10646
206,19713421,10654
207,19713421,10659
208,13085951,4617
209,13085951,10654
210,13085951,10665
211,7124461,10646
212,7123381,10654
213,7123381,10738
214,7246455,10646
215,7123359,10646
216,7705806,10641
217,7705806,10654
218,7705806,10738
219,4767808,9908
220,4767808,10646
221,4768028,10654
222,4768028,10738
223,4769469,10654
224,4769469,10738
225,14072445,10640
226,14072445,10670
227,14072445,10738
228,14072445,10746
229,14072445,10621
230,14072445,10683
231,4209799,4617
232,4209799,10641
233,4209799,10649
234,4209799,10654
235,4209799,10746
236,4209799,10665
237,4209799,10992
238,4768031,10654
239,4768031,10738
240,10179249,10648
241,10179249,10651
242,10179249,10683
243,10179249,10738
244,10179249,10654
245,7123540,10654
246,7123540,10738
247,7124124,10654
248,7124124,10738
249,7123529,10654
250,7123529,10738
251,4768028,10654
252,4768028,10738
253,7124077,10659
254,7124236,10642
255,7123376,10654
256,7123376,10738
257,2413532,10640
258,2413532,10670
259,2413532,10738
260,2413532,10746
261,2413532,10654
262,11535840,10346
263,11535840,10665
264,7124448,9908
265,7124448,10646
266,4768800,10654
267,4768800,10738
268,4769024,10640
269,4769024,10670
270,4769024,10738
271,4769024,10654
272,7123548,10668
273,7123843,10659
274,7124450,10654
275,7124450,10738
276,7687448,10654
